filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,listmethod,memory,method
clusters20,51,128000,1.7318,0.8562790000000001,0.66367,0.00315309,-1,107.652,ANN-NL
clusters20,51,128000,1.79075,0.887502,0.6836399999999999,0.00328809,-1,107.62,ANN-NL
corners,11,28158,0.646113,0.297518,0.29725999999999997,0.0007811630000000001,-1,41.184,ANN-NL
corners,11,28158,0.623456,0.284456,0.286447,0.000868835,-1,41.088,ANN-NL
corners,11,28158,0.6055050000000001,0.276953,0.27779,0.000722287,-1,41.124,ANN-NL
corners,11,28158,0.618947,0.283495,0.284604,0.000890795,-1,41.132,ANN-NL
corners,11,28158,0.605326,0.275336,0.276391,0.000735315,-1,41.196,ANN-NL
corners,2,7200,0.14541400000000002,0.0674077,0.0650256,0.00019296099999999998,-1,13.9,ANN-NL
corners,2,7200,0.148538,0.0683493,0.0656499,0.00018412099999999998,-1,13.892,ANN-NL
corners,2,7200,0.14555099999999999,0.06736239999999999,0.0651157,0.000190475,-1,13.904,ANN-NL
corners,2,7200,0.146528,0.0681255,0.0655635,0.000208028,-1,13.896,ANN-NL
corners,2,7200,0.152042,0.0708386,0.06791080000000001,0.000187083,-1,14.044,ANN-NL
diagonal,11,29424,0.577979,0.26423,0.26024400000000003,0.000794149,-1,39.576,ANN-NL
diagonal,11,29424,0.5778479999999999,0.264691,0.259229,0.000713147,-1,39.516,ANN-NL
diagonal,11,29424,0.586225,0.268538,0.265015,0.000789423,-1,39.588,ANN-NL
diagonal,11,29424,0.590115,0.27060300000000004,0.262949,0.0007610210000000001,-1,39.468,ANN-NL
diagonal,11,29424,0.7209760000000001,0.334783,0.330056,0.0009106289999999999,-1,39.524,ANN-NL
corners,14,37044,1.4497,0.638129,0.652101,0.00149925,-1,52.376,ANN-NL
corners,14,37044,1.08359,0.49332200000000004,0.497435,0.00116069,-1,52.404,ANN-NL
corners,14,37044,0.917493,0.42187299999999994,0.424033,0.00101309,-1,52.292,ANN-NL
corners,14,37044,0.8546020000000001,0.390248,0.391324,0.00102755,-1,52.392,ANN-NL
corners,14,37044,0.906391,0.418363,0.42059399999999997,0.00105517,-1,52.38,ANN-NL
clusters2,11,27648,806.1439999999999,0.5375439999999999,0.318469,805.222,0,42.456,ANN
clusters2,11,27648,788.544,0.528519,0.3178,787.6389999999999,0,42.536,ANN
clusters2,11,27648,793.316,0.529066,0.31641199999999997,792.408,0,42.448,ANN
clusters2,11,27648,787.7360000000001,0.525471,0.312898,786.832,0,42.504,ANN
clusters2,11,27648,787.755,0.52176,0.313182,786.863,0,42.332,ANN
clusters4,11,27648,440.222,0.404584,0.21771100000000002,439.543,0,34.328,ANN
clusters4,11,27648,442.279,0.40854,0.21845599999999998,441.59,0,34.328,ANN
clusters4,11,27648,444.46,0.415246,0.22187199999999999,443.764,0,34.312,ANN
clusters4,11,27648,446.805,0.41143900000000005,0.22426,446.106,0,34.312,ANN
clusters4,11,27648,436.45,0.400028,0.21773499999999998,435.776,0,34.232,ANN
clusters6,11,27648,223.43599999999998,0.264468,0.137192,222.972,0,27.584,ANN
clusters6,11,27648,223.363,0.26266999999999996,0.139991,222.905,0,27.472,ANN
clusters6,11,27648,226.15,0.269343,0.14049,225.68200000000002,0,27.644000000000002,ANN
clusters6,11,27648,222.9,0.262467,0.14043699999999998,222.438,0,27.564,ANN
