time,sizex,sizey,sizez,filltype,fill,ndatapts,ttotal,tksearch,tfrsearch,tprocessing,interactionlistmethod
2018-12-03T23:43:10.941032,0.005,0.01,0.005,clusters10,0.512,128000,3.3548,0.0162976,0.0103065,3.32066,0
2018-12-03T23:43:15.141392,0.005,0.01,0.005,clusters10,0.512,128000,3.3332,0.01624,0.0103998,3.29919,0
2018-12-03T23:43:19.309068,0.005,0.01,0.005,clusters10,0.512,128000,3.35664,0.0163047,0.0103354,3.32255,0
2018-12-03T23:43:23.523777,0.005,0.01,0.005,clusters20,0.512,128000,3.06774,0.0157216,0.0100704,3.0345,0
2018-12-03T23:43:27.472692,0.005,0.01,0.005,clusters20,0.512,128000,3.0942,0.0160194,0.0102345,3.05962,0
2018-12-03T23:43:31.414835,0.005,0.01,0.005,clusters20,0.512,128000,3.01274,0.0150203,0.00972292,2.9772,0
2018-12-03T23:43:34.980485,0.005,0.01,0.005,corners,0.112632,28158,26.7777,0.0577218,0.0475991,26.6615,0
2018-12-03T23:44:02.320369,0.005,0.01,0.005,corners,0.112632,28158,26.7798,0.0590151,0.0480275,26.6613,0
2018-12-03T23:44:29.671119,0.005,0.01,0.005,corners,0.112632,28158,26.7907,0.0587966,0.0477985,26.6762,0
2018-12-03T23:44:56.985969,0.005,0.01,0.005,corners,0.0288,7200,25.3942,0.0584356,0.0481271,25.2795,0
2018-12-03T23:45:22.892469,0.005,0.01,0.005,corners,0.0288,7200,25.3706,0.0569581,0.0469461,25.2581,0
2018-12-03T23:45:48.770368,0.005,0.01,0.005,corners,0.0288,7200,25.3464,0.0571211,0.0471976,25.2335,0
2018-12-03T23:46:14.699438,0.005,0.01,0.005,diagonal,0.117696,29424,18.6826,0.0450431,0.0351717,18.5915,0
2018-12-03T23:46:33.966892,0.005,0.01,0.005,diagonal,0.117696,29424,18.508,0.0442278,0.0348466,18.4184,0
2018-12-03T23:46:53.096119,0.005,0.01,0.005,diagonal,0.117696,29424,18.9887,0.0461669,0.0357288,18.8971,0
2018-12-03T23:47:12.690229,0.005,0.01,0.005,corners,0.148176,37044,24.6776,0.0551785,0.04476,24.5658,0
2018-12-03T23:47:37.954716,0.005,0.01,0.005,corners,0.148176,37044,25.3976,0.0595555,0.0462169,25.2832,0
2018-12-03T23:48:03.967871,0.005,0.01,0.005,corners,0.148176,37044,24.7833,0.054848,0.0448452,24.6756,0
2018-12-04T10:31:26.419561,0.005,0.01,0.005,full,1.0,250000,2.97362,0.0274571,0.0133308,2.92469,0
2018-12-04T10:31:30.727055,0.005,0.01,0.005,full,1.0,250000,3.62816,0.0302646,0.0151758,3.56535,0
2018-12-04T10:31:35.612252,0.005,0.01,0.005,full,1.0,250000,3.01188,0.0153436,0.00908758,2.98028,0
2018-12-04T10:31:39.148823,0.005,0.01,0.005,clusters2,0.110592,27648,18.2888,0.0585656,0.0361053,18.1867,0
2018-12-04T10:31:58.021197,0.005,0.01,0.005,clusters2,0.110592,27648,18.1,0.0536918,0.0356434,18.002,0
2018-12-04T10:32:16.645001,0.005,0.01,0.005,clusters2,0.110592,27648,16.1649,0.0427307,0.0301405,16.0848,0
2018-12-04T10:32:33.332460,0.005,0.01,0.005,clusters4,0.110592,27648,9.46441,0.0476418,0.0201417,9.38906,0
2018-12-04T10:32:45.099376,0.005,0.01,0.005,clusters4,0.110592,27648,9.75862,0.0539855,0.0314302,9.6022,0
2018-12-04T10:32:55.519749,0.005,0.01,0.005,clusters4,0.110592,27648,7.11105,0.0335547,0.019049,7.05109,0
2018-12-04T10:33:03.178076,0.005,0.01,0.005,clusters6,0.110592,27648,3.05356,0.0130411,0.00868368,3.02528,0
2018-12-04T10:33:06.700058,0.005,0.01,0.005,clusters6,0.110592,27648,4.07699,0.0214503,0.0120971,4.03639,0
2018-12-04T10:33:11.336495,0.005,0.01,0.005,clusters6,0.110592,27648,4.65364,0.0394282,0.0180484,4.58042,0
2018-12-04T10:33:16.871629,0.005,0.01,0.005,clusters5,0.512,128000,3.82458,0.0142659,0.00985378,3.79389,0
2018-12-04T10:33:21.540909,0.005,0.01,0.005,clusters5,0.512,128000,3.81141,0.0142927,0.00973561,3.78061,0
2018-12-04T10:33:26.201112,0.005,0.01,0.005,clusters5,0.512,128000,3.83372,0.0142078,0.00962738,3.80284,0
2018-12-04T10:33:30.851493,0.005,0.01,0.005,clusters10,0.512,128000,2.9105,0.0127929,0.00842449,2.88271,0
2018-12-04T10:33:34.555175,0.005,0.01,0.005,clusters10,0.512,128000,2.88021,0.0126744,0.00845662,2.85252,0
2018-12-04T10:33:38.387544,0.005,0.01,0.005,clusters10,0.512,128000,3.02081,0.0155597,0.00901938,2.98963,0
2018-12-04T10:33:42.214371,0.005,0.01,0.005,clusters20,0.512,128000,2.64685,0.0129403,0.00839471,2.61903,0
2018-12-04T10:33:45.708742,0.005,0.01,0.005,clusters20,0.512,128000,4.5083,0.0386959,0.0166858,4.44551,0
2018-12-04T10:33:51.349635,0.005,0.01,0.005,clusters20,0.512,128000,3.38342,0.0275255,0.0128901,3.33566,0
2018-12-04T20:59:24.502749,0.005,0.01,0.005,full,1.0,250000,3.96744,0.0329985,0.0167638,3.90478,0
2018-12-04T20:59:30.351185,0.005,0.01,0.005,full,1.0,250000,3.1871,0.019413,0.0119062,3.1433,0
2018-12-04T20:59:35.010712,0.005,0.01,0.005,full,1.0,250000,2.9692,0.0144597,0.00938589,2.93586,0
2018-12-04T20:59:38.643219,0.005,0.01,0.005,clusters2,0.110592,27648,22.7911,0.0717977,0.0438123,22.6621,0
2018-12-04T21:00:02.103487,0.005,0.01,0.005,clusters2,0.110592,27648,17.8407,0.0560674,0.0375915,17.7364,0
2018-12-04T21:00:20.474021,0.005,0.01,0.005,clusters2,0.110592,27648,16.4196,0.0388099,0.0306044,16.3405,0
2018-12-04T21:00:37.441790,0.005,0.01,0.005,clusters4,0.110592,27648,6.3011,0.0211621,0.0148501,6.25612,0
2018-12-04T21:00:44.271330,0.005,0.01,0.005,clusters4,0.110592,27648,6.31371,0.0207234,0.0148006,6.26988,0
2018-12-04T21:00:51.102376,0.005,0.01,0.005,clusters4,0.110592,27648,6.31133,0.0210732,0.0148571,6.26709,0
2018-12-04T21:00:57.932113,0.005,0.01,0.005,clusters6,0.110592,27648,3.45814,0.015036,0.00995187,3.4248,0
2018-12-04T21:01:01.917885,0.005,0.01,0.005,clusters6,0.110592,27648,3.5785,0.0152062,0.010015,3.54485,0
2018-12-04T21:01:06.028390,0.005,0.01,0.005,clusters6,0.110592,27648,3.48351,0.0149882,0.0099798,3.45009,0
2018-12-04T21:01:10.284235,0.005,0.01,0.005,clusters5,0.512,128000,4.43545,0.0166772,0.0110048,4.39923,0
2018-12-04T21:01:15.495150,0.005,0.01,0.005,clusters5,0.512,128000,4.34872,0.0160167,0.0107662,4.3137,0
2018-12-04T21:01:20.666769,0.005,0.01,0.005,clusters5,0.512,128000,4.32894,0.0163356,0.0110074,4.29424,0
2018-12-04T21:01:25.784625,0.005,0.01,0.005,clusters10,0.512,128000,3.3572,0.0150153,0.00969634,3.32403,0
2018-12-04T21:01:29.945188,0.005,0.01,0.005,clusters10,0.512,128000,3.31877,0.0151366,0.00964573,3.2858,0
2018-12-04T21:01:34.058986,0.005,0.01,0.005,clusters10,0.512,128000,3.3697,0.0153269,0.0101109,3.33523,0
2018-12-04T21:01:38.277509,0.005,0.01,0.005,clusters20,0.512,128000,2.97003,0.014137,0.00902507,2.93865,0
2018-12-04T21:01:42.069215,0.005,0.01,0.005,clusters20,0.512,128000,3.05822,0.0146206,0.00958166,3.0263,0
2018-12-04T21:01:45.945148,0.005,0.01,0.005,clusters20,0.512,128000,2.9909,0.0145027,0.00926676,2.95909,0
2018-12-04T21:01:49.452459,0.005,0.01,0.005,corners,0.112632,28158,26.4223,0.0545065,0.0460546,26.313,0
2018-12-04T21:02:16.428595,0.005,0.01,0.005,corners,0.112632,28158,26.4414,0.0545703,0.0461057,26.3322,0
2018-12-04T21:02:43.424653,0.005,0.01,0.005,corners,0.112632,28158,26.6737,0.0550189,0.047092,26.5628,0
2018-12-04T21:03:10.597753,0.005,0.01,0.005,corners,0.0288,7200,25.0722,0.0535485,0.0453626,24.9649,0
2018-12-04T21:03:36.153529,0.005,0.01,0.005,corners,0.0288,7200,25.0875,0.0530514,0.045162,24.9777,0
2018-12-04T21:04:01.741600,0.005,0.01,0.005,corners,0.0288,7200,24.997,0.0531872,0.0450808,24.8903,0
2018-12-04T21:04:27.301655,0.005,0.01,0.005,diagonal,0.117696,29424,18.351,0.0421921,0.0336972,18.2656,0
2018-12-04T21:04:46.197289,0.005,0.01,0.005,diagonal,0.117696,29424,18.3099,0.0422057,0.0338173,18.2257,0
2018-12-04T21:05:05.050450,0.005,0.01,0.005,diagonal,0.117696,29424,19.1993,0.0451871,0.0357138,19.1085,0
2018-12-04T21:05:24.829349,0.005,0.01,0.005,corners,0.148176,37044,24.5053,0.0538684,0.0443339,24.3988,0
2018-12-04T21:05:49.912418,0.005,0.01,0.005,corners,0.148176,37044,25.1246,0.0542237,0.045361,25.0155,0
2018-12-04T21:06:15.615349,0.005,0.01,0.005,corners,0.148176,37044,24.4337,0.0525357,0.0436656,24.329,0
2018-12-04T21:08:12.066086,0.005,0.01,0.005,full,1.0,250000,3.87117,0.0298724,0.015438,3.81524,0
2018-12-04T21:08:16.993409,0.005,0.01,0.005,full,1.0,250000,2.93341,0.0128788,0.00861193,2.90416,0
2018-12-04T21:08:20.941386,0.005,0.01,0.005,full,1.0,250000,2.92152,0.0134328,0.00883188,2.89178,0
2018-12-04T21:08:24.400332,0.005,0.01,0.005,clusters2,0.110592,27648,16.4745,0.0387744,0.0308657,16.3952,0
2018-12-04T21:08:41.407385,0.005,0.01,0.005,clusters2,0.110592,27648,17.4823,0.0450171,0.0337916,17.3942,0
2018-12-04T21:08:59.430179,0.005,0.01,0.005,clusters2,0.110592,27648,16.4552,0.0393199,0.0310724,16.3766,0
2018-12-04T21:09:16.445716,0.005,0.01,0.005,clusters4,0.110592,27648,6.33233,0.0208703,0.0148287,6.28001,0
2018-12-04T21:09:23.319239,0.005,0.01,0.005,clusters4,0.110592,27648,6.29608,0.0207023,0.014661,6.252,0
2018-12-04T21:09:30.141665,0.005,0.01,0.005,clusters4,0.110592,27648,6.34075,0.0211534,0.0148922,6.29627,0
2018-12-04T21:09:37.002471,0.005,0.01,0.005,clusters6,0.110592,27648,3.49932,0.0148704,0.0098508,3.46628,0
2018-12-04T21:09:41.016862,0.005,0.01,0.005,clusters6,0.110592,27648,3.51464,0.0152301,0.0100197,3.48033,0
2018-12-04T21:09:45.057076,0.005,0.01,0.005,clusters6,0.110592,27648,3.48764,0.0150421,0.00998212,3.45443,0
2018-12-04T21:09:49.344069,0.005,0.01,0.005,clusters5,0.512,128000,4.3084,0.0162362,0.0107229,4.27409,0
2018-12-04T21:09:54.454475,0.005,0.01,0.005,clusters5,0.512,128000,4.37367,0.0163634,0.0109207,4.33397,0
2018-12-04T21:09:59.628156,0.005,0.01,0.005,clusters5,0.512,128000,4.33116,0.0163199,0.0109811,4.29591,0
2018-12-04T21:10:04.773799,0.005,0.01,0.005,clusters10,0.512,128000,3.38382,0.015374,0.0100951,3.35025,0
2018-12-04T21:10:08.951737,0.005,0.01,0.005,clusters10,0.512,128000,3.30115,0.0147502,0.00960724,3.26803,0
2018-12-04T21:10:13.052249,0.005,0.01,0.005,clusters10,0.512,128000,3.31404,0.0152738,0.00982253,3.28117,0
2018-12-04T21:10:17.183753,0.005,0.01,0.005,clusters20,0.512,128000,3.01258,0.0148712,0.00945388,2.98038,0
2018-12-04T21:10:21.028518,0.005,0.01,0.005,clusters20,0.512,128000,2.97497,0.0142306,0.00905748,2.94229,0
2018-12-04T21:10:24.840736,0.005,0.01,0.005,clusters20,0.512,128000,3.05234,0.0144147,0.00935546,3.02073,0
2018-12-04T21:10:28.407634,0.005,0.01,0.005,corners,0.112632,28158,26.4772,0.054103,0.0458381,26.3688,0
2018-12-04T21:10:55.431226,0.005,0.01,0.005,corners,0.112632,28158,26.4291,0.0539229,0.0458376,26.321,0
2018-12-04T21:11:22.408226,0.005,0.01,0.005,corners,0.112632,28158,27.2065,0.0557028,0.0470761,27.0954,0
2018-12-04T21:11:50.121989,0.005,0.01,0.005,corners,0.0288,7200,25.1406,0.0536741,0.0455951,25.0331,0
2018-12-04T21:12:15.762219,0.005,0.01,0.005,corners,0.0288,7200,25.079,0.0536369,0.0459833,24.971,0
2018-12-04T21:12:41.332871,0.005,0.01,0.005,corners,0.0288,7200,26.4683,0.0597681,0.0489613,26.3508,0
2018-12-04T21:13:08.356755,0.005,0.01,0.005,diagonal,0.117696,29424,18.8149,0.0449664,0.0355111,18.7244,0
2018-12-04T21:13:27.718410,0.005,0.01,0.005,diagonal,0.117696,29424,18.143,0.041052,0.0330557,18.0608,0
